"Sortierfeld_Title","Title","Format","Title No.","Title No Electronic Journal version","Title No. Print Incl. ""Enhanced Access""","ISSN print","ISSN electronic","Publisher","Language","Vols Qty","Scheduled Vol Nos","Issues per vol","Currency","Institutional Rate Print incl. Free Access or E-Only","Currency","Institutional Rate incl. Enhanced Access","Price for Postage & Handling","Status","Comments","Dispatch included"
"AIDS Behavior","AIDS and Behavior","P E OF",10461,"10461E","10461N","1090-7165","1573-3254","Springer US","E",1,14,6,"USD",556,"USD",667.2,42,,"More content! ",
"Air Quality Atmosphere Health","Air Quality, Atmosphere & Health","P E OF",11869,"11869E","11869N","1873-9318","1873-9326","Springer Netherlands","E",1,3,4,"USD",399,"USD",478.8,28,,,
"Algebra Logic","Algebra and Logic","P E",10469,"10469E","10469N","0002-5232","1573-8302","Springer US","E",1,49,6,"USD",3160,"USD",3792,42,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Algebra Universalis","algebra universalis","P E OF",12,"012E","012N","0002-5240","1420-8911","Birkhäuser Verlag Basel","E",2,"63+64",4,"USD",1447,"USD",1736.4,82,,,
"Algebras Representation Theory","Algebras and Representation Theory","P E OF",10468,"10468E","10468N","1386-923X","1572-9079","Springer Netherlands","E",1,13,6,"USD",464,"USD",556.8,42,,,
"Algorithmica","Algorithmica","P E OF",453,"453E","453N","0178-4617","1432-0541","Springer New York","E",3,"56-58",4,"USD",1336,"USD",1603.2,84,,,
"Allergo Journal","Allergo Journal","P",15007,"15007E","15007N","0941-8849",,"Urban & Vogel","D",1,19,8,"USD",88,,,80,,"No electronic version available. ",
"ALTEX","ALTEX","P E",12270,"12270E","12270N","0946-7785","1868-8551","Spektrum Akademischer Verlag","D/E",1,27,4,"USD",286,"USD",343.2,0,,"Erratum Journals Price List. Order through Spektrum Akademischer Verlag. New: Available in electronic format as of Volume 27 (2010). ","INCL Disp"
"ALTEX ethik","ALTEX ethik","P",13285,"13285E","13285N","1869-4950",,"Spektrum Akademischer Verlag","D",1,2,1,"USD",20,,,0,"New in 2009","New start in 2009. Addendum Journals Price List. No electronic version available. ","INCL Disp"
"ALTEX ethik b","ALTEX / ALTEX ethik combined subscription","P E",13294,"13294E","13294N",,,"Spektrum Akademischer Verlag","D E",,,,"USD",296,"USD",276,0,"New in 2009","New start combined subscription in 2009. Addendum Journals Price List. Combined subscription. ","INCL Disp"
"Ambio","AMBIO","P E OF",13280,"13280E","13280N","0044-7447","1654-7209","Springer Netherlands","E",1,39,8,"USD",399,"USD",479,56,"New in 2010","Take-over in 2010. Former publisher: Allen Press. Addendum Journals Price List. ",
"Ambulante Chirurgie","Ambulante Chirurgie","P",15032,"15032E","15032N","1612-4375",,"Urban & Vogel","D",1,14,6,"USD",142,,,42,,"No electronic version available. ",
"American Journal Community Psychology","American Journal of Community Psychology","P E OF",10464,"10464E","10464N","0091-0562","1573-2770","Springer US","E",2,"45+46",4,"USD",1365,"USD",1638,56,,,
"American Journal Criminal Justice","American Journal of Criminal Justice","P E OF",12103,"12103E","12103N","1066-2316","1936-1351","Springer New York","E",1,35,4,"USD",257,"USD",308.4,28,,,
"American Journal Dance Therapy","American Journal of Dance Therapy","P E OF",10465,"10465E","10465N","0146-3721","1573-3262","Springer US","E",1,32,2,"USD",452,"USD",542.4,14,,,
"American Journal Potato Research","American Journal of Potato Research","P E OF",12230,"12230E","12230N","1099-209X","1874-9380","Springer New York","E",1,87,6,"USD",410,"USD",492,42,,,
"American Sociologist","The American Sociologist","P E OF",12108,"12108E","12108N","0003-1232","1936-4784","Springer US","E",1,41,4,"USD",437,"USD",524.4,40,,,
"Amino Acids","Amino Acids","P E OF",726,"726E","726N","0939-4451","1438-2199","Springer Wien","E",2,"38+39",5,"USD",2124,"USD",2548.8,100,,"More content! ",
"Anaesthesist","Der Anaesthesist","P E",101,"101E","101N","0003-2417","1432-055X","Springer Berlin Heidelberg","D",1,59,12,"USD",538,"USD",645.6,120,,,
"Analog Integrated Circuits Signal Processing","Analog Integrated Circuits and Signal Processing","P E OF",10470,"10470E","10470N","0925-1030","1573-1979","Springer US","E",4,"62-65",3,"USD",1934,"USD",2320.8,84,,,
"Analysis Mathematica","Analysis Mathematica","P E OF",10476,"10476E","10476N","0133-3852","1588-273X","Springer Netherlands","E",1,36,4,"USD",1224,"USD",1468.8,28,,"No sales rights in Hungary. ",
"Analysis Theory Applications","Analysis in Theory and Applications","P E",10496,"10496E","10496N","1672-4070","1573-8175","Editorial Board of Analysis in Theory and Applications","E",1,26,4,"USD",536,"USD",643.2,28,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Analytical Bioanalytical Chemistry","Analytical and Bioanalytical Chemistry","P E OF S",216,"216E","216N","1618-2642","1618-2650","Springer Berlin Heidelberg","E",3,"396-398",8,"USD",6616,"USD",7939.2,240,,"Erratum Journals Price List: Incorporating Chemical Analysis/Chemia Analityczna (ISSN 0009-2223) as of 2010. For questions and queries regarding Vols. 1 to 54 of Chemical Analysis/Chemia Analityczna please contact the Polish Chemical Society. ",
"Anatomical Science International","Anatomical Science International","P E OF S",12565,"12565E","12565N","1447-6959","1447-073X","Springer Japan","E",1,85,4,"USD",420,"USD",504,28,"New in 2009","Take-over in 2009. ",
"Andrologie","Andrologie","P E OF",12610,"12610E","12610N","1166-2654","1760-5377","Springer Paris","F",1,20,4,"USD",396,"USD",475.2,28,"New in 2009","Take-over in 2009. ",
"Angewandte Schmerztherapie Palliativmedizin","Angewandte Schmerztherapie und Palliativmedizin","P",15223,"15223E","15223N","Pending",,"Urban & Vogel","D",1,3,4,"USD",98,,,28,,"No electronic version available. ",
"Angiogenesis","Angiogenesis","P E OF",10456,"10456E","10456N","0969-6970","1573-7209","Springer Netherlands","E",1,13,4,"USD",496,"USD",595.2,28,,,
"Animal Cognition","Animal Cognition","P E OF S",10071,"10071E","10071N","1435-9448","1435-9456","Springer Berlin Heidelberg","E",1,13,6,"USD",542,"USD",650.4,42,,,
"Annales Henri Poincaré  ","Annales Henri Poincaré  ","P E OF",23,"023E","023N","1424-0637","1424-0661","Birkhäuser Verlag Basel","E",1,11,8,"USD",1035,"USD",1242,80,,,
"Annali dell'Universita di Ferrara","Annali dell'Universita di Ferrara","P E OF",11565,"11565E","11565N","0430-3202","1827-1510","Springer Milan","E",1,56,2,"USD",124,"USD",148.8,14,,,
"Annali Matematica Pura ed Applicata","Annali di Matematica Pura ed Applicata","P E OF",10231,"10231E","10231N","0373-3114","1618-1891","Springer Berlin Heidelberg","E",1,189,4,"USD",428,"USD",513.6,40,,,
"Annals Behavioral Medicine","Annals of Behavioral Medicine","P E OF A S",12160,"12160E","12160N","0883-6612","1532-4796","Springer New York","E",2,"39+40",3,"USD",693,"USD",831.6,42,,,
"Annals Biomedical Engineering","Annals of Biomedical Engineering","P E OF",10439,"10439E","10439N","0090-6964","1573-9686","Springer US","E",1,38,12,"USD",1300,"USD",1560,84,,"More content! ",
"Annals Combinatorics","Annals of Combinatorics","P E OF",26,"026E","026N","0218-0006","0219-3094","Birkhäuser Verlag Basel","E",1,14,4,"USD",636,"USD",763.2,42,,,
"Annals Dyslexia","Annals of Dyslexia","P E OF S",11881,"11881E","11881N","0736-9387","1934-7243","Springer US","E",1,60,2,"USD",243,"USD",291.6,14,,,
"Annals Finance","Annals of Finance","P E OF",10436,"10436E","10436N","1614-2446","1614-2454","Springer Berlin Heidelberg","E",1,6,4,"USD",392,"USD",470.4,28,,,
